technology,carrier,node,time_operation,flow_conversion_input
condition_16bar,co2_ambient,waste_2_CH,4,0.0
decompression_110_16bar,co2_liquid_110bar,swiss_storage_CH,0,0.0
decompression_110_16bar,co2_liquid_110bar,swiss_storage_CH,1,17.567023262387377
decompression_110_16bar,co2_liquid_110bar,swiss_storage_CH,2,17.567023262387377
decompression_110_16bar,co2_liquid_110bar,swiss_storage_CH,3,30.340813982564946
decompression_110_16bar,co2_liquid_110bar,swiss_storage_CH,4,30.340813982564946
decompression_110_16bar,co2_liquid_110bar,waste_1_CH,0,0.0
decompression_110_16bar,co2_liquid_110bar,waste_1_CH,1,0.0
decompression_110_16bar,co2_liquid_110bar,waste_1_CH,2,0.0
decompression_110_16bar,co2_liquid_110bar,waste_1_CH,3,0.0
decompression_110_16bar,co2_liquid_110bar,waste_1_CH,4,0.0
decompression_110_16bar,co2_liquid_110bar,waste_2_CH,0,0.0
decompression_110_16bar,co2_liquid_110bar,waste_2_CH,1,0.0
decompression_110_16bar,co2_liquid_110bar,waste_2_CH,2,0.0
decompression_110_16bar,co2_liquid_110bar,waste_2_CH,3,0.0
decompression_110_16bar,co2_liquid_110bar,waste_2_CH,4,0.0
decompression_110bar_ambient,co2_liquid_110bar,swiss_storage_CH,0,0.0
decompression_110bar_ambient,co2_liquid_110bar,swiss_storage_CH,1,0.0
decompression_110bar_ambient,co2_liquid_110bar,swiss_storage_CH,2,0.0
decompression_110bar_ambient,co2_liquid_110bar,swiss_storage_CH,3,0.0
decompression_110bar_ambient,co2_liquid_110bar,swiss_storage_CH,4,0.0
decompression_110bar_ambient,co2_liquid_110bar,waste_1_CH,0,0.0
decompression_110bar_ambient,co2_liquid_110bar,waste_1_CH,1,0.0
decompression_110bar_ambient,co2_liquid_110bar,waste_1_CH,2,0.0
decompression_110bar_ambient,co2_liquid_110bar,waste_1_CH,3,0.0
decompression_110bar_ambient,co2_liquid_110bar,waste_1_CH,4,0.0
decompression_110bar_ambient,co2_liquid_110bar,waste_2_CH,0,0.0
decompression_110bar_ambient,co2_liquid_110bar,waste_2_CH,1,0.0
decompression_110bar_ambient,co2_liquid_110bar,waste_2_CH,2,0.0
decompression_110bar_ambient,co2_liquid_110bar,waste_2_CH,3,0.0
decompression_110bar_ambient,co2_liquid_110bar,waste_2_CH,4,0.0
emergency_storage,co2_liquid_16bar,swiss_storage_CH,0,0.0
emergency_storage,co2_liquid_16bar,swiss_storage_CH,1,0.0
emergency_storage,co2_liquid_16bar,swiss_storage_CH,2,0.0
emergency_storage,co2_liquid_16bar,swiss_storage_CH,3,0.0
emergency_storage,co2_liquid_16bar,swiss_storage_CH,4,0.0
emergency_storage,co2_liquid_16bar,waste_1_CH,0,0.0
emergency_storage,co2_liquid_16bar,waste_1_CH,1,0.0
emergency_storage,co2_liquid_16bar,waste_1_CH,2,0.0
emergency_storage,co2_liquid_16bar,waste_1_CH,3,0.0
emergency_storage,co2_liquid_16bar,waste_1_CH,4,0.0
emergency_storage,co2_liquid_16bar,waste_2_CH,0,0.0
emergency_storage,co2_liquid_16bar,waste_2_CH,1,0.0
emergency_storage,co2_liquid_16bar,waste_2_CH,2,0.0
emergency_storage,co2_liquid_16bar,waste_2_CH,3,0.0
emergency_storage,co2_liquid_16bar,waste_2_CH,4,0.0
emitter_wte,co2_fossil,swiss_storage_CH,0,0.0
emitter_wte,co2_fossil,swiss_storage_CH,1,0.0
emitter_wte,co2_fossil,swiss_storage_CH,2,0.0
emitter_wte,co2_fossil,swiss_storage_CH,3,0.0
emitter_wte,co2_fossil,swiss_storage_CH,4,0.0
emitter_wte,co2_fossil,waste_1_CH,0,5.704
